,CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage,DistTopCorner,DistBotCorner,DistTopLeft,DistBotRight
0,junit4331,junit4,331,junit.runner.BaseTestRunner.filterLine(String),12,2.08333333,8.5,0.708,10.5,0.875,25,0,0,25,0,0,0.0,0.0,0.0,0.0,3,6,3,0.25,0.5,0.25,0,53,1.0,1.007782219,0.875,1.328768227,0.125
1,gson7,gson,7,com.google.gson.Gson.atomicLongArrayAdapter(TypeAdapter<Number>),24,5.5,15.666666699999999,0.653,23.0,0.95833333,132,18,6,132,40,22,0.13636364,0.04545455,0.3030303,0.16666667,1,19,1,0.04166667,0.79166667,0.04166667,0,6,1.0,0.834374347,0.972718125,1.2699792159999999,0.171796072
2,spark9,spark,9,spark.staticfiles.StaticFilesConfiguration.configure(String),11,16.4545455,7.11111111,0.6459999999999999,9.0,0.81818182,181,56,0,181,137,0,0.30939227,0.0,0.75690608,0.0,3,10,3,0.27272727,0.90909091,0.27272727,0,40,1.0,1.016394535,0.81818182,1.292060947,0.18181818
3,opennlp57,opennlp,57,opennlp.tools.util.AbstractEventStream.read(),40,1.4,28.4,0.71,35.0,0.875,56,11,6,56,33,10,0.19642857,0.10714286,0.58928571,0.17857143,5,10,7,0.125,0.25,0.175,0,34,1.0,0.830885007,0.8930356970000001,1.200154113,0.21797420899999997
5,opennlp131,opennlp,131,"opennlp.tools.postag.POSSampleEventStream.generateEvents(String[],String[],Object[],POSContextGenerator)",11,3.18181818,5.91666667,0.5379999999999999,7.0,0.63636364,35,1,0,35,10,7,0.02857143,0.0,0.28571429,0.2,2,6,2,0.18181818,0.54545455,0.18181818,0,33,1.0,0.8787669779999999,0.667052234,1.022232206,0.41500771399999997
6,mybatis-3145,mybatis-3,145,"org.apache.ibatis.builder.xml.XMLStatementBuilder.parseSelectKeyNode(String,XNode,Class<?>,LanguageDriver,String)",30,1.0,14.225806500000001,0.474,19.0,0.63333333,30,9,9,30,8,6,0.3,0.3,0.26666667,0.2,1,22,-1,0.03333333,0.73333333,-0.0333333,0,103,1.0,0.8800252540000001,0.664161958,1.020348522,0.41766547200000004
13,spark11,spark,11,spark.staticfiles.StaticFilesConfiguration.configureExternal(String),20,8.85,9.6,0.48,11.0,0.55,177,41,0,177,95,0,0.23163842,0.0,0.53672316,0.0,5,16,7,0.25,0.8,0.35,11,50,0.81967213,1.09658561,0.55,1.141271221,0.45
22,jcodec366,jcodec,366,"org.jcodec.codecs.h264.decode.BlockInterpolator.getChromaXXUnsafe(byte[],int,int,byte[],int,int,int,int,int,int,int,int)",17,1.47058824,8.59259259,0.505,9.0,0.52941176,25,2,2,25,3,3,0.08,0.08,0.12,0.12,3,13,3,0.17647059,0.76470588,0.17647059,0,148,1.0,0.997924492,0.542841424,1.026974592,0.48564729100000004
26,mybatis-3136,mybatis-3,136,"org.apache.ibatis.executor.resultset.ResultSetWrapper.loadMappedAndUnmappedColumnNames(ResultMap,String)",14,1.5,7.7826087,0.556,7.0,0.5,21,3,0,21,4,0,0.14285714,0.0,0.19047619,0.0,4,13,6,0.28571429,0.92857143,0.42857143,0,70,1.0,1.118033989,0.5,1.118033989,0.5
28,junit4354,junit4,354,org.junit.experimental.categories.CategoryFilterFactory.parseCategories(String),13,1.92307692,6.5,0.5,6.5,0.5,25,0,0,25,0,0,0.0,0.0,0.0,0.0,2,6,2,0.15384615,0.46153846,0.15384615,0,33,1.0,1.118033989,0.5,1.118033989,0.5
29,junit4170,junit4,170,org.junit.internal.TextListener.printFooter(Result),11,2.09090909,5.91666667,0.5379999999999999,5.5,0.5,23,0,0,23,0,0,0.0,0.0,0.0,0.0,3,10,3,0.27272727,0.90909091,0.27272727,0,63,1.0,1.118033989,0.5,1.118033989,0.5
30,jcodec333,jcodec,333,"org.jcodec.codecs.h264.decode.BlockInterpolator.getChromaX0Unsafe(byte[],int,int,byte[],int,int,int,int,int,int,int)",12,1.5,5.86206897,0.489,6.0,0.5,18,0,0,18,1,1,0.0,0.0,0.05555556,0.05555556,3,10,3,0.25,0.83333333,0.25,0,86,1.0,1.0686324440000001,0.503076953,1.0686324440000001,0.503076953
31,jcodec408,jcodec,408,"org.jcodec.containers.mps.MPSUtils.mpeg2Pes(int,int,int,ByteBuffer,long)",16,1.625,8.57894737,0.536,8.0,0.5,26,5,4,26,7,3,0.19230769,0.15384615,0.26923077,0.11538462,3,16,3,0.1875,1.0,0.1875,10,53,0.84126984,1.016141905,0.513140927,1.016141905,0.513140927
35,jcodec411,jcodec,411,"org.jcodec.codecs.mpeg4.MPEG4Interpolator.vertMiddle8Safe(byte[],int,byte[],int,int,int,int)",14,1.92857143,7.88,0.563,7.0,0.5,27,3,1,27,10,4,0.11111111,0.03703704,0.37037037,0.14814815,4,16,4,0.28571429,1.14285714,0.28571429,0,108,1.0,0.987750765,0.5214862170000001,0.987750765,0.5214862170000001
39,jcodec109,jcodec,109,"org.jcodec.codecs.h264.decode.BlockInterpolator.getLuma00Unsafe(byte[],int,int,byte[],int,int,int,int,int,int)",10,1.6,4.82352941,0.48200000000000004,5.0,0.5,16,3,3,16,7,3,0.1875,0.1875,0.4375,0.1875,3,8,3,0.3,0.8,0.3,0,51,1.0,0.954021095,0.534000234,0.954021095,0.534000234
